Код;Артикул;Артикул1;Артикул2;Номенклатура;Артикул производителя;Группа доступа;Производитель
001665552;CREATEK-VG1500061202;CREATEK;VG1500061202;Термостат 80°С без корпуса качество Createk;VG1500061202;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665575;CREATEK-CKAZ1642430385/285;CREATEK;CKAZ1642430385/2;Амортизатор регулируемый передней подвески в сборе SITRAK;CKAZ1642430385/285;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665576;CREATEK-CK8095;CREATEK;CK8095;Амортизатор регулируемый передней подвески в сборе SITRAK;CK8095;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665583;CREATEK-CK8092;CREATEK;CK8092;Амортизатор кабины передний SHACMAN F2000-F3000;CK8092;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665584;CREATEK-CKDZ1640430030;CREATEK;CKDZ1640430030;Амортизатор кабины передний SHACMAN F2000-F3000;CKDZ1640430030;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665601;CREATEK-CK81.41722.6036;CREATEK;CK81.41722.6036;"Амортизатор кабины задний 292/246 14x40 O 14x40 O MAN F90/F2000; SHACMAN";CK81.41722.6036;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665602;CREATEK-CK8488;CREATEK;CK8488;"Амортизатор кабины задний 292/246 14x40 O 14x40 O MAN F90/F2000; SHACMAN";CK8488;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665604;CREATEK-CKWG9100680001;CREATEK;CKWG9100680001;Амортизатор передней оси CNHTC WG9100680001\WG9925680028;CKWG9100680001;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665605;CREATEK-CK8098;CREATEK;CK8098;Амортизатор передней оси CNHTC WG9100680001\WG9925680028;CK8098;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665615;CREATEK-CK-DZ95259680012/13;CREATEK;CK-DZ95259680012;Амортизатор подвески F3000 8x4 1-я ось SHAANXI;CK-DZ95259680012/13;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665617;CREATEK-CK8094;CREATEK;CK8094;Амортизатор подвески F3000 8x4 1-я ось SHAANXI;CK8094;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665620;CREATEK-CK199114680004;CREATEK;CK199114680004;Амортизатор подвески основной 6х4 8x4  HOWO;CK199114680004;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665622;CREATEK-CK8097;CREATEK;CK8097;Амортизатор подвески основной 6х4 8x4  HOWO;CK8097;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665638;CREATEK-SQDZ6807700;CREATEK;SQDZ6807700;Амортизатор сиденья SHACMAN F3000;SQDZ6807700;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665640;CREATEK-CK8580;CREATEK;CK8580;Амортизатор сиденья SHACMAN F3000;CK8580;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665641;CREATEK-CK-DZ9114311067;CREATEK;CK-DZ9114311067;Вал карданный межосевой L=670 фланцы 180x4x52  SHACMAN;CK-DZ9114311067;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665642;CREATEK-CK8237;CREATEK;CK8237;Вал карданный межосевой L=670 фланцы 180x4x52  SHACMAN;CK8237;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665647;CREATEK-CK-DZ9114312072/57;CREATEK;CK-DZ9114312072/;Вал карданный 8х4, WP12, WP10, Евро4 L=720 фланцы 180x4x57 усиленный;CK-DZ9114312072/57;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665648;CREATEK-CK8474;CREATEK;CK8474;Вал карданный 8х4, WP12, WP10, Евро4 L=720 фланцы 180x4x57 усиленный;CK8474;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665653;CREATEK-CK-199014320135;CREATEK;CK-199014320135;Вал МОД промежуточный полый  HOWO  199014320135;CK-199014320135;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665656;CREATEK-CK8497;CREATEK;CK8497;Вал МОД промежуточный полый  HOWO  199014320135;CK8497;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665671;CREATEK-CK-AZ9761321010-8;CREATEK;CK-AZ9761321010-;Вал проходной L=680 крупный шлиц Z=8 качество Createk  CK-AZ9761321010-8;CK-AZ9761321010-8;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665673;CREATEK-CK8337;CREATEK;CK8337;Вал проходной L=680 крупный шлиц Z=8 качество Createk  CK-AZ9761321010-8;CK8337;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665681;CREATEK-CK-VG2600020208;CREATEK;CK-VG2600020208;Венец зубчатый маховика Z-136;CK-VG2600020208;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665682;CREATEK-CK8465;CREATEK;CK8465;Венец зубчатый маховика Z-136;CK8465;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665692;CREATEK-CKVG1500060446;CREATEK;CKVG1500060446;Вентилятор D=640 10 лопастей с ободом;CKVG1500060446;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665693;CREATEK-CK8208;CREATEK;CK8208;Вентилятор D=640 10 лопастей с ободом;CK8208;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665695;CREATEK-CK-VG1560030033/34;CREATEK;CK-VG1560030033/;Вкладыши WD615 Евро2 шатунные STD (комплект 12 шт.) качество Createk  CK-VG1560030033/34;CK-VG1560030033/34;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665698;CREATEK-CK8440;CREATEK;CK8440;Вкладыши WD615 Евро2 шатунные STD (комплект 12 шт.) качество Createk  CK-VG1560030033/34;CK8440;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665702;CREATEK-CK-VG1500010046;CREATEK;CK-VG1500010046;Вкладыши WD615 Евро2-3 коренные STD (комплект 14 шт.) качество Createk;CK-VG1500010046;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665706;CREATEK-CK8441;CREATEK;CK8441;Вкладыши WD615 Евро2-3 коренные STD (комплект 14 шт.) качество Createk;CK8441;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665711;CREATEK-WG9100760100;CREATEK;WG9100760100;Выключатель аккумулятора (массы) HOWO  WG910076010;WG9100760100;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665712;CREATEK-CK8871;CREATEK;CK8871;Выключатель аккумулятора (массы) HOWO  WG910076010;CK8871;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665717;CREATEK-VG15600090012;CREATEK;VG15600090012;Генератор Евро3 ручейковый шкив  HOWO  VG156009001;VG15600090012;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665718;CREATEK-CK8459;CREATEK;CK8459;Генератор Евро3 ручейковый шкив  HOWO  VG1560090012;CK8459;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665725;CREATEK-DZ13241440085;CREATEK;DZ13241440085;Замок кабины гидравлический X3000;DZ13241440085;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665726;CREATEK-CK3191;CREATEK;CK3191;Замок кабины гидравлический;CK3191;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665727;CREATEK-CK8318H;CREATEK;CK8318H;Гильза цилиндра;CK8318H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665728;CREATEK-3948095;CREATEK;3948095;Гильза 300/340/375 л.с.;3948095;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665733;CREATEK-CK-VG1500010344;CREATEK;CK-VG1500010344;"Гильза цилиндра WD615; WP10";CK-VG1500010344;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665734;CREATEK-CK8011;CREATEK;CK8011;"Гильза цилиндра WD615; WP10";CK8011;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665737;CREATEK-61800010125-CK;CREATEK;61800010125-CK;Гильза цилиндра WD618 Евро2  HOWO  61800010125;61800010125-CK;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665738;CREATEK-CK8014;CREATEK;CK8014;Гильза цилиндра WD618 Евро2  HOWO  61800010125;CK8014;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665739;CREATEK-CK-612650040001;CREATEK;CK-612650040001;Головка блока цилиндра в сборе WP10.336E53 X3000;CK-612650040001;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665740;CREATEK-CK9738;CREATEK;CK9738;Головка блока цилиндров WP10 Евро-5;CK9738;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665742;CREATEK-CK-61560040040A;CREATEK;CK-61560040040A;ГБЦ в сборе (с коромыслами) WD615E2 CREATEK (CK8007);CK-61560040040A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665743;CREATEK-CK8007;CREATEK;CK8007;Головка блока цилиндров WD615 Евро2 в сборе;CK8007;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665768;CREATEK-CK-612600040282;CREATEK;CK-612600040282;Головка блока цилиндров WP10 Евро2 в сборе (3 проточки) качество Createk;CK-612600040282;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665773;CREATEK-CK8009;CREATEK;CK8009;Головка блока цилиндров WP10 Евро2 в сборе (3 проточки) качество Createk;CK8009;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665805;CREATEK-CK8115;CREATEK;CK8115;Фильтр воздушный комплект K2841, SITRAK HOWO-T7H;CK8115;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665822;CREATEK-CK9909;CREATEK;CK9909;Амортизатор с винтовой пружиной задней подвески кабины HOWO A7;CK9909;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665823;CREATEK-CK9948;CREATEK;CK9948;Амортизатор передней оси CNHTC WG9100680001\WG9925680028;CK9948;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665867;CREATEK-CK8549;CREATEK;CK8549;Амортизатор кабины задний (винтовая пружина ) A7;CK8549;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665888;CREATEK-CK1501;CREATEK;CK1501;Прокладка крышки клапанов WP12;CK1501;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665919;CREATEK-CK8638;CREATEK;CK8638;Фильтр топливный грубой очистки Weichai WP13;CK8638;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665928;CREATEK-CK1477;CREATEK;CK1477;Прокладка впускного коллектора WP12;CK1477;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665932;CREATEK-CK8093;CREATEK;CK8093;"Амортизатор кабины задний 292/246 14x40 O 14x40 O MAN F90/F2000; SHACMAN";CK8093;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001665949;CREATEK-CK8716;CREATEK;CK8716;Амортизатор переднего моста;CK8716;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666280;CREATEK-CK3299;CREATEK;CK3299;Фильтр грубой очистки топлива Sitrak C7H, HOWO T5G;CK3299;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666568;CREATEK-CK9422;CREATEK;CK9422;Ролик натяжной ручейковый WP12 WD10 10PK;CK9422;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666574;CREATEK-CK5260;CREATEK;CK5260;Синхронизатор 1/2 передачи КПП Z=30/16;CK5260;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666647;CREATEK-200V05504-0107/51.05504-0;CREATEK;200V05504-0107/5;Фильтр масляный HOWO T5G\SITRAK MC11, MC13 качество Createk;200V05504-0107/51.05504-0122;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666656;CREATEK-81.61910.0042/711W61900-0;CREATEK;81.61910.0042/71;Фильтр салона Sitrak/Howo CREATEK;81.61910.0042/711W61900-0050;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666658;CREATEK-51.12503-0061;CREATEK;51.12503-0061;Фильтр топливный Howo MAN TGA T5G\SITRAK MC11 качество Createk;51.12503-0061;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666659;CREATEK-CK6056;CREATEK;CK6056;Фильтр топливный Howo MAN TGA T5G\SITRAK MC11 качество Createk;CK6056;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666662;CREATEK-CK3244;CREATEK;CK3244;Фильтр салона Sitrak/Howo t5g/t7h (460x175x43) (711w61900-0050/81.61910.0042);CK3244;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666688;CREATEK-VG1092080052-PL421;CREATEK;VG1092080052-PL4;Фильтр топливный грубой очистки c датчиком PL421 Createk;VG1092080052-PL421;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001666689;CREATEK-CK8748;CREATEK;CK8748;Фильтр топливный грубой очистки c датчиком PL421 Createk;CK8748;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001671603;CREATEK-CK8126;CREATEK;CK8126;Фильтр топливный Евро3 тонкой очистки WK940/20;CK8126;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672174;CREATEK-CK9551;CREATEK;CK9551;Колодка тормозная дискового тормоза (C7H MAX) комплект на ось;CK9551;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672179;CREATEK-CK8100;CREATEK;CK8100;Накладка тормозная передняя короткая 6 отв. (Ф10 ширина160) качество Createk;CK8100;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672571;CREATEK-CK8730;CREATEK;CK8730;Клапан 4-х контурный защитный;CK8730;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672575;CREATEK-ON-C-31003;CREATEK;ON-C-31003;Клапан тормозной воздушный 4-х контурный F3000 81.52151.6094 CREATEK CK8730;ON-C-31003;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672603;CREATEK-CK9495;CREATEK;CK9495;Клапан тормозной воздушный ускорительный;CK9495;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672648;CREATEK-CK3002;CREATEK;CK3002;Влагоотделитель тормозной системы (осушитель) в сборе с фильтром DZ96189360003 X3000 CREATEK CK3002;CK3002;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672649;CREATEK-CK3046;CREATEK;CK3046;Реле отопителя (резистор) SHACMAN X3000 DZ97189585315 CREATEK CK3046;CK3046;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672650;CREATEK-CK3192;CREATEK;CK3192;Насос подъема кабины SHAANXI SHACMAN X3000 DZ97259820125 CREATEK CK3192;CK3192;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672651;CREATEK-CK5001H;CREATEK;CK5001H;Поршневая группа WP-10 Евро-5 CREATEK 612650020002;CK5001H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672652;CREATEK-CK5002;CREATEK;CK5002;Амортизатор капота Shaanxi F3000 CREATEK;CK5002;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672653;CREATEK-CK5126;CREATEK;CK5126;Шкворень ремкомплект на ось SHAANXI F3000 X3000 50мм/51мм HDZ7.5T c 2017г. CREATEK HD95009410054;CK5126;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672654;CREATEK-CK5127;CREATEK;CK5127;Шкворень ремкомплект на ось SHAANXI X3000 HDZ9.5T диаметры 54/55 мм HD90009410357-XLB CREATEK CK5127;CK5127;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672655;CREATEK-CK5216;CREATEK;CK5216;ПГУ сцепления SHAANXI X3000 M3000 Евро-5 DZ93189230080 CREATEK CK5216;CK5216;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672656;CREATEK-CK5287;CREATEK;CK5287;Накладка тормозная задняя SHAANXI X3000 CREATEK HD90149340094;CK5287;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672657;CREATEK-CK5360;CREATEK;CK5360;Сальник хвостовика редуктора FAW-J6 FAW-4250 125x95x14/27,8 2502055-A0E;CK5360;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672658;CREATEK-CK5653;CREATEK;CK5653;Цилиндр сцепления главный SHAANXI SHACMAN X3000 F3000 DZ93189230090 CREATEK CK5653;CK5653;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672659;CREATEK-CK5655;CREATEK;CK5655;Фильтр салона SHAANXI 81.61910.0011 CREATEK CK5655;CK5655;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672660;CREATEK-CK5961;CREATEK;CK5961;Палец опорный тормозных колодок SHAANXI F3000 L=102 D=30 CREATEK 81.50212.0032;CK5961;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672662;CREATEK-CK5976;CREATEK;CK5976;Клапан тормозной ускорительный SHACMAN M3000 X3000;CK5976;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672663;CREATEK-CK6051B;CREATEK;CK6051B;Накладка тормозная CK6048+CK6049 КАМАЗ-6520 CREATEK (комплект на ось) с заклепками 8х18;CK6051B;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672664;CREATEK-CK8002HE;CREATEK;CK8002HE;Поршневая группа WD-615 WP-10 336 371 KC1560030011 CREATEK CK8002HE VG1560030011-SPT;CK8002HE;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672665;CREATEK-CK8042;CREATEK;CK8042;Ремень ручейковый 8PK2358 CREATEK FAW J6 1023021-81D;CK8042;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672666;CREATEK-CK8102B;CREATEK;CK8102B;Накладка тормозная задняя мост STEYR (комплект на ось) CREATEK WG9200340068 с заклепками;CK8102B;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672667;CREATEK-CK8104B;CREATEK;CK8104B;Накладка тормозная задняя HOWO A7 (комплект на ось) WG9231342068 CREATEK CK8104B с заклепками;CK8104B;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672668;CREATEK-CK8105;CREATEK;CK8105;Заклепка10x22 (алюминиевая) (189000340068) (упаковка 100 штук) Цена за упаковку;CK8105;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672670;CREATEK-CK8219;CREATEK;CK8219;Подшипник выжимной 430 обратный выжим 6395 DZ9114160023 SACHS CREATEK CK8219;CK8219;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672671;CREATEK-CK8220A;CREATEK;CK8220A;Дифференциал межосевой 199014320266 CREATEK CK8220;CK8220A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672672;CREATEK-CK8284;CREATEK;CK8284;Поворотник SHAANXI F2000 MAN повторитель поворота в бампер CREATEK 81.25320.6082-CK;CK8284;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672673;CREATEK-CK8296;CREATEK;CK8296;Клапан КПП FULLER переключения передач F99660 CREATEK CK8296;CK8296;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672674;CREATEK-CK8321;CREATEK;CK8321;Подушка рессоры задняя (6 отверстий) CREATEK AZ9725520276+78;CK8321;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
